Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Sat,2022-03-19,13:00,FC Cincinnati,2.2,3–1,1.4,Inter Miami,19365,West End Stadium,Ismir Pekmic,Match Report,
Sat,2022-03-19,15:00,Toronto FC,1.0,2–1,0.8,D.C. United,21501,BMO Field,Ramy Touchan,Match Report,
Sat,2022-03-19,16:00,Atlanta Utd,0.8,3–3,2.4,CF Montréal,42578,Mercedes-Benz Stadium,Chris Penso,Match Report,
Sat,2022-03-19,17:00 (18:00),Chicago Fire,1.4,3–1,0.5,Sporting KC,9352,Soldier Field,Tim Ford,Match Report,
Sat,2022-03-19,19:00,Charlotte,1.7,3–1,2.1,New England,29318,Bank of America Stadium,Marcos de Oliveira,Match Report,
Sun,2022-03-20,14:00,NY Red Bulls,1.3,1–1,3.1,Columbus Crew,15323,Red Bull Arena,Joe Dickerson,Match Report,
Sun,2022-03-20,15:30 (16:30),Austin,2.3,1–1,1.8,Seattle,20738,Q2 Stadium,Lukasz Szpala,Match Report,
Sat,2022-03-19,19:00 (20:00),Minnesota Utd,1.5,1–0,0.2,San Jose,18685,Allianz Field,Pierre-Luc Lauziere,Match Report,
Sat,2022-03-19,19:30 (20:30),Houston Dynamo,1.0,1–1,1.5,Colorado Rapids,17007,PNC Stadium,Nima Saghafi,Match Report,
Sat,2022-03-19,19:30 (20:30),FC Dallas,1.6,4–1,0.9,Portland Timbers,19096,Toyota Stadium,Allen Chapman,Match Report,
Sat,2022-03-19,19:30 (21:30),Real Salt Lake,0.8,2–1,1.9,Nashville,20036,America First Field,Tori Penso,Match Report,
Sun,2022-03-20,19:00 (22:00),Los Angeles FC,1.4,3–1,1.1,Vancouver,22065,Banc of California Stadium,Guido Gonzalez Jr.,Match Report,
Sat,2022-03-26,17:00,Charlotte,1.2,2–0,1.7,FC Cincinnati,30242,Bank of America Stadium,Alex Chilowicz,Match Report,
Sat,2022-03-26,18:00 (19:00),Sporting KC,0.9,1–0,0.7,Real Salt Lake,19107,Children's Mercy Park,Joe Dickerson,Match Report,
Sun,2022-03-27,13:00 (16:00),Portland Timbers,1.7,1–1,0.6,Orlando City,22948,Providence Park,Marcos de Oliveira,Match Report,
Sat,2022-04-02,14:30 (15:30),Chicago Fire,0.6,0–0,0.3,FC Dallas,11411,Soldier Field,Pierre-Luc Lauziere,Match Report,
Sat,2022-04-02,16:00,FC Cincinnati,2.0,3–4,1.2,CF Montréal,20386,West End Stadium,Tori Penso,Match Report,
Sat,2022-04-02,16:00,Toronto FC,1.0,2–1,1.5,NYCFC,21802,BMO Field,Drew Fischer,Match Report,
Sat,2022-04-02,16:30 (19:30),San Jose,2.6,2–2,2.0,Austin,13062,Avaya Stadium,Alex Chilowicz,Match Report,
Sat,2022-04-02,18:00,Columbus Crew,1.5,0–1,0.9,Nashville,20371,Lower.com Field,Rubiel Vazquez,Match Report,
Sat,2022-04-02,19:30,D.C. United,0.5,0–1,0.9,Atlanta Utd,17289,Audi Field,Armando Villarreal,Match Report,
Sat,2022-04-02,19:30,Philadelphia,1.3,2–0,0.3,Charlotte,18136,Subaru Park,Tim Ford,Match Report,
Sat,2022-04-02,19:30,New England,1.0,0–1,0.9,NY Red Bulls,16265,Gillette Stadium,Victor Rivas,Match Report,
Sat,2022-04-02,19:30,Orlando City,1.1,2–4,2.4,Los Angeles FC,16753,Exploria Stadium,Joe Dickerson,Match Report,
Sun,2022-04-03,13:30 (16:30),Portland Timbers,1.4,1–3,2.4,LA Galaxy,24534,Providence Park,Nima Saghafi,Match Report,
Sat,2022-04-02,17:00 (20:00),Vancouver,0.9,1–0,0.7,Sporting KC,16772,BC Place,Fotis Bazakos,Match Report,
Sat,2022-04-02,19:00 (21:00),Colorado Rapids,1.9,1–1,1.0,Real Salt Lake,13380,Dick's Sporting Goods Park,Ted Unkel,Match Report,
Sat,2022-04-02,19:00 (20:00),Minnesota Utd,1.7,1–2,1.3,Seattle,19615,Allianz Field,Ismail Elfath,Match Report,
Sat,2022-04-02,20:00,Inter Miami,1.9,1–3,2.1,Houston Dynamo,13083,Lockhart Stadium,Allen Chapman,Match Report,
Sat,2022-04-09,13:00,Orlando City,2.9,1–0,0.4,Chicago Fire,16051,Exploria Stadium,Victor Rivas,Match Report,
Sat,2022-04-09,15:00,Inter Miami,1.1,3–2,1.3,New England,11472,Lockhart Stadium,Ramy Touchan,Match Report,
Sat,2022-04-09,16:00,NY Red Bulls,1.3,1–2,1.1,CF Montréal,15734,Red Bull Arena,Guido Gonzalez Jr.,Match Report,
Sat,2022-04-09,16:30 (19:30),LA Galaxy,1.2,2–1,2.1,Los Angeles FC,25174,Dignity Health Sports Park,Chris Penso,Match Report,
Sat,2022-04-09,18:00,Philadelphia,1.8,1–0,1.0,Columbus Crew,18321,Subaru Park,Armando Villarreal,Match Report,
Sun,2022-04-10,13:30,Charlotte,1.1,1–0,1.1,Atlanta Utd,32496,Bank of America Stadium,Allen Chapman,Match Report,
Sat,2022-04-09,18:00 (20:00),Real Salt Lake,2.1,2–2,0.4,Toronto FC,20136,America First Field,Marcos de Oliveira,Match Report,
Sun,2022-04-10,18:30 (19:30),Austin,1.6,1–0,0.4,Minnesota Utd,20738,Q2 Stadium,Rosendo Mendoza,Match Report,
Sat,2022-04-09,19:00 (22:00),Vancouver,3.0,2–3,1.3,Portland Timbers,16772,BC Place,Silviu Petrescu,Match Report,
Sat,2022-04-09,19:30 (20:30),Sporting KC,1.2,1–2,2.4,Nashville,18852,Children's Mercy Park,Ismail Elfath,Match Report,
Sat,2022-04-09,19:30 (20:30),FC Dallas,1.4,3–1,1.6,Colorado Rapids,15893,Toyota Stadium,Lukasz Szpala,Match Report,
Sat,2022-04-09,19:30 (20:30),Houston Dynamo,1.4,4–3,1.1,San Jose,15414,PNC Stadium,Ismir Pekmic,Match Report,
Sat,2022-04-16,12:30 (15:30),San Jose,1.6,2–2,1.5,Nashville,10394,Avaya Stadium,Tim Ford,Match Report,
Sat,2022-04-16,15:00,CF Montréal,1.2,2–1,0.2,Vancouver,12042,Saputo Stadium,Nima Saghafi,Match Report,
Sat,2022-04-16,17:00 (18:00),Houston Dynamo,1.5,0–0,1.3,Portland Timbers,13650,PNC Stadium,Rosendo Mendoza,Match Report,
Sat,2022-04-16,18:00,Atlanta Utd,2.6,0–0,1.2,FC Cincinnati,42948,Mercedes-Benz Stadium,Rubiel Vazquez,Match Report,
Sat,2022-04-16,19:00,NY Red Bulls,1.7,0–0,0.7,FC Dallas,14456,Red Bull Arena,Fotis Bazakos,Match Report,
Sat,2022-04-16,19:30,New England,1.1,2–1,0.4,Charlotte,15344,Gillette Stadium,Pierre-Luc Lauziere,Match Report,
Sat,2022-04-16,19:30,Columbus Crew,0.9,0–2,1.1,Orlando City,18030,Lower.com Field,Drew Fischer,Match Report,
Sat,2022-04-16,19:30,D.C. United,1.3,2–3,2.9,Austin,16840,Audi Field,Tori Penso,Match Report,
Sat,2022-04-16,19:30,Toronto FC,0.4,2–1,1.7,Philadelphia,20809,BMO Field,Alex Chilowicz,Match Report,
Sun,2022-04-17,13:00 (16:00),Los Angeles FC,1.7,3–1,1.2,Sporting KC,22097,Banc of California Stadium,Armando Villarreal,Match Report,
Sun,2022-04-17,13:00,NYCFC,5.3,6–0,1.2,Real Salt Lake,14513,Yankee Stadium,Ismail Elfath,Match Report,
Sat,2022-04-16,19:00 (20:00),Minnesota Utd,1.3,3–1,2.2,Colorado Rapids,19629,Allianz Field,Chris Penso,Match Report,
Sat,2022-04-16,19:00 (20:00),Chicago Fire,0.4,0–0,0.5,LA Galaxy,30282,Soldier Field,Ted Unkel,Match Report,
Sat,2022-04-16,19:00 (22:00),Seattle,0.7,0–1,0.5,Inter Miami,32126,Lumen Field,Joe Dickerson,Match Report,
Sat,2022-04-23,14:00 (15:00),FC Dallas,2.4,2–1,0.8,Houston Dynamo,15792,Toyota Stadium,Victor Rivas,Match Report,
Sat,2022-04-23,15:00,Philadelphia,1.0,1–1,0.6,CF Montréal,18476,Subaru Park,Lukasz Szpala,Match Report,
Sat,2022-04-23,16:00 (17:00),Minnesota Utd,1.1,3–0,0.6,Chicago Fire,19658,Allianz Field,Silviu Petrescu,Match Report,
Sat,2022-04-23,19:30,D.C. United,1.3,3–2,1.5,New England,17131,Audi Field,Marcos de Oliveira,Match Report,
Sun,2022-04-24,13:00,Inter Miami,2.0,2–1,2.3,Atlanta Utd,13433,Lockhart Stadium,Jair Marrufo,Match Report,
Sun,2022-04-24,15:30,Orlando City,0.1,0–3,2.4,NY Red Bulls,17503,Exploria Stadium,Alex Chilowicz,Match Report,
Sun,2022-04-24,17:00,FC Cincinnati,1.3,1–2,1.7,Los Angeles FC,20883,West End Stadium,Ismail Elfath,Match Report,
Sun,2022-04-24,17:00,NYCFC,4.3,5–4,1.1,Toronto FC,17626,Citi Field,Rubiel Vazquez,Match Report,
Sat,2022-04-23,19:00 (22:00),San Jose,2.7,4–3,2.3,Seattle,12467,Avaya Stadium,Ted Unkel,Match Report,
Sat,2022-04-23,19:00 (21:00),Colorado Rapids,0.7,0–0,0.9,Charlotte,13160,Dick's Sporting Goods Park,Ismir Pekmic,Match Report,
Sat,2022-04-23,19:00 (22:00),Portland Timbers,0.5,0–0,1.0,Real Salt Lake,24206,Providence Park,Chris Penso,Match Report,
Sat,2022-04-23,19:30 (22:30),LA Galaxy,1.3,1–0,0.1,Nashville,26674,Dignity Health Sports Park,Allen Chapman,Match Report,
Sat,2022-04-23,19:30 (20:30),Sporting KC,0.3,0–0,0.8,Columbus Crew,18483,Children's Mercy Park,Rosendo Mendoza,Match Report,
Sat,2022-04-23,19:30 (20:30),Austin,0.8,3–0,0.9,Vancouver,20738,Q2 Stadium,Ramy Touchan,Match Report,
Sat,2022-04-30,12:30 (13:30),Houston Dynamo,1.5,1–2,0.6,Austin,16296,PNC Stadium,Ted Unkel,Match Report,
Sat,2022-04-30,13:30 (15:30),Real Salt Lake,0.9,1–0,1.0,LA Galaxy,20775,America First Field,Drew Fischer,Match Report,
Sat,2022-04-30,15:00,Toronto FC,1.1,1–2,1.1,FC Cincinnati,23591,BMO Field,Pierre-Luc Lauziere,Match Report,
Sat,2022-04-30,16:00,CF Montréal,1.6,2–1,0.7,Atlanta Utd,15060,Saputo Stadium,Alex Chilowicz,Match Report,
Sat,2022-04-30,19:30,Orlando City,1.3,2–1,1.0,Charlotte,17012,Exploria Stadium,Fotis Bazakos,Match Report,
Sat,2022-04-30,19:30,New England,1.9,2–0,0.4,Inter Miami,25509,Gillette Stadium,Ismail Elfath,Match Report,
Sat,2022-04-30,19:30,Columbus Crew,1.3,3–0,1.9,D.C. United,19402,Lower.com Field,Tim Ford,Match Report,
Sun,2022-05-01,13:00,NYCFC,2.6,3–0,0.4,San Jose,17174,Yankee Stadium,Guido Gonzalez Jr.,Match Report,
Sun,2022-05-01,15:00 (16:00),Nashville,1.8,1–1,1.2,Philadelphia,30109,Geodis Park,Chris Penso,Match Report,
Sat,2022-04-30,19:00 (21:00),Colorado Rapids,1.4,2–0,0.7,Portland Timbers,14038,Dick's Sporting Goods Park,Armando Villarreal,Match Report,
Sat,2022-04-30,19:00 (20:00),Chicago Fire,1.3,1–2,2.0,NY Red Bulls,11108,Soldier Field,Jon Freemon,Match Report,
